Age [ka BP]	Sea level [m NN] (Calculated)	Speleo_age
352	-85.1	352.3979
353	-84	353.6035
354	-86.5	354.6205
355	-91.1	355.6365
356	-94.9	356.6535
357	-93	357.6695
358	-91.8	358.6862
359	-88.6	359.7025
360	-84.7	360.7195
361	-78.8	361.7355
362	-71.1	362.7525
363	-66.1	363.7678
364	-66.4	364.7845
365	-65	365.8015
366	-57.2	366.8152
367	-50.4	367.8318
368	-49.2	368.8485
369	-48	369.8645
370	-49.3	370.8792
371	-49.2	371.8965
372	-46.8	372.9128
373	-48.4	373.9282
374	-47.4	374.9505
375	-50.1	375.9682
376	-48.2	376.9848
377	-50.2	378.0035
378	-49.5	379.3486
379	-37.8	380.6902
380	-26.5	382.0336
381	-24	383.379
382	-28.9	384.7202
383	-27.8	386.0627
384	-27.2	387.4075
385	-25	388.7524
386	-22.2	390.0969
387	-19	391.4408
388	-21.6	392.7839
389	-26.2	394.1264
390	-28.4	395.4725
391	-23.4	396.5214
392	-17.9	397.5691
393	-9.7	398.6185
394	-6.5	399.6659
395	-4.2	400.7135
396	-3.1	401.7615
397	-1	402.8105
398	3.2	403.8584
399	10.3	404.9058
400	14.7	405.9541
401	14.1	406.9998
402	13.1	408.0479
403	14.6	409.0999
404	16	410.1515
405	12.9	410.8747
406	11.2	411.5964
407	10.3	412.3182
408	7.9	413.0403
409	5.5	413.7622
410	-3.3	414.485
411	-7.6	415.2081
412	-11.9	415.9291
413	-12.4	416.6507
414	-17.4	417.3728
415	-25.1	418.0943
416	-31.7	418.8164
417	-35.5	419.5386
418	-37	420.2607
419	-42.1	420.9812
420	-49.3	421.7038
421	-55.3	422.4274
422	-58.6	423.1498
423	-70.3	423.871
424	-72	424.597
425	-89.5	425.3188
426	-104.4	426.0418
427	-111.5	426.764
428	-113.8	427.4842
429	-116.5	428.2105
430	-116.1	429.482
431	-115.6	430.7534
432	-117.1	432.0246
433	-119	433.2953
434	-118.1	434.5657
435	-114.4	435.8367
436	-113.9	437.108
437	-113.2	438.3792
438	-110.7	439.6505
439	-105.3	440.9204
440	-99.8	442.194
441	-98.5	443.4663
442	-100.5	444.7374
443	-101.7	446.0016
444	-99.6	447.2744
445	-96.2	448.5479
446	-95.5	449.8188
447	-95	451.0865
448	-96.9	452.3503
449	-98.3	453.6292
450	-97.8	454.8986
451	-97.8	456.1663
452	-96.2	457.4438
453	-94.6	458.7174
454	-92.9	459.9891
455	-90.9	461.2444
456	-89.8	462.5155
457	-88.3	463.7902
458	-86	465.0564
459	-81.9	466.3149
460	-81.4	467.597
461	-79.7	468.8817
462	-78.3	470.1574
463	-75.4	471.4311
464	-73.8	472.6889
465	-74.8	473.9745
466	-71.4	474.7506
467	-62.9	475.5287
468	-52.1	476.3053
469	-51.2	477.0814
470	-51.8	477.8581
471	-49.6	478.6342
472	-41.6	479.4114
473	-36.8	480.1888
474	-34.5	480.965
475	-32.1	481.7414
476	-29.8	482.5167
477	-27.6	483.2929
478	-28.3	484.0701
479	-31.4	484.8483
480	-32.8	485.6246
481	-32.4	486.4019
482	-30.5	487.1786
483	-28.2	487.9553
484	-24.9	488.7308
485	-21.1	489.5019
486	-17.4	490.2784
487	-17.6	491.0569
488	-17.1	491.8307
489	-18	492.6108
490	-15.2	493.3858
491	-12.7	494.161
492	-10.8	494.9387
493	-12.4	495.7124
494	-14.5	496.4883
495	-17.6	497.2638
496	-18.4	498.0418
497	-15.3	498.8203
498	-14	499.5979
499	-17.9	500.373
500	-22.5	501.1491
501	-23.3	501.926
502	-24	502.6991
503	-27.3	503.4737
504	-30.5	504.2527
505	-33.4	505.0219
506	-36	505.7987
507	-40.7	506.5756
508	-45.7	507.3592
509	-53.5	508.1353
510	-53.7	508.9115
511	-51.7	509.9739
512	-51.2	511.0359
513	-51.7	512.0994
514	-50	513.161
515	-48.9	514.2255
516	-46.2	515.2874
517	-43.5	516.3502
518	-44.1	517.4125
519	-45.5	518.4742
520	-44	519.5367
521	-43.9	520.6005
522	-45.8	521.6643
523	-48.8	522.7267
524	-49.6	523.7889
525	-49.1	524.8517
526	-48.9	525.9155
527	-47.8	526.9776
528	-47.9	528.0425
529	-50.1	529.0987
530	-51.6	530.1597
531	-53.2	531.2246
532	-53.3	532.2933
533	-52.7	533.355
534	-55.9	534.4183
535	-61	535.4814
536	-64	536.5457
537	-67.3	537.6155
538	-64.2	538.7682
539	-59.9	539.9207
